index,roll,pitch,yaw,accx,accy,accz,gyrox,gyroy,gyroz
0,0,0,0,-2.13477,-1.58484,9.78698,0,0,0
1,1.2937,3.05228,-77.7625,-0.480685,0.587371,9.9353,0.102746,-0.526333,0.0215902
2,1.36753,2.75539,-77.7539,-0.741963,0.334048,9.74991,0.0750491,-0.425133,0.0301124
3,1.38639,2.58564,-77.7419,-0.527826,0.0917847,9.93028,0.0217859,-0.299432,0.0343734
4,1.38375,2.45843,-77.7306,-0.413687,-0.0109685,10.0966,0.0207206,-0.139642,0.00348076
5,1.38736,2.41145,-77.7361,-0.371947,0.0812435,10.2273,0.0409607,-0.0192673,-0.0124982
6,1.42438,2.41606,-77.7513,-0.217916,0.461721,10.3806,0.0888976,0.0446486,-0.0412603
7,1.50584,2.44008,-77.7831,-0.430501,0.50895,10.3437,0.120855,0.0446486,-0.0497825
8,1.59008,2.46477,-77.8056,-0.495571,0.603363,10.0806,0.115529,0.0446486,-0.0295424
9,1.65739,2.49482,-77.8152,-0.593865,0.479884,10.0356,0.0974197,0.0616928,0.000284962
10,1.70997,2.53729,-77.8104,-0.571195,0.330842,9.94715,0.0590702,0.0691497,0.024786
11,1.7257,2.60161,-77.7867,-0.755749,0.22518,9.829,-0.0048457,0.110695,0.0524829
12,1.6886,2.69486,-77.7344,-0.776258,0.147768,9.84135,-0.0890016,0.134131,0.097224
13,1.61719,2.7773,-77.6628,-0.685564,0.183038,9.80787,-0.140134,0.125609,0.128117
14,1.51848,2.84732,-77.5756,-0.624753,0.187343,9.96847,-0.195528,0.11176,0.153683
15,1.39795,2.90789,-77.4842,-0.543848,0.23438,10.1545,-0.231747,0.0936507,0.156879
16,1.26612,2.96485,-77.3975,-0.303639,0.312608,10.3026,-0.249856,0.12987,0.134508
17,1.12625,3.03026,-77.3189,-0.420923,0.305857,10.2641,-0.270097,0.122413,0.132378
18,0.96244,3.07591,-77.2449,-0.347246,0.211397,10.17,-0.270097,0.0691497,0.10042
19,0.821116,3.09371,-77.193,-0.494206,0.111188,10.1475,-0.234943,0.0286696,0.0844408
20,0.708085,3.1028,-77.155,-0.440337,0.0425807,10.0901,-0.197659,0.0254738,0.0716577
21,0.595128,3.12102,-77.1249,-0.707464,0.0569842,10.0827,-0.16144,0.0414528,0.0343734
22,0.512306,3.13374,-77.1069,-0.535955,0.0871337,10.1551,-0.131612,0.0105601,0.0290471
23,0.456581,3.12776,-77.0999,-0.5898,0.134247,10.1634,-0.0698268,-0.0395073,-0.00291083
24,0.43026,3.09239,-77.1021,-0.58904,0.22504,10.1478,-0.0272162,-0.0778568,-0.0114329
25,0.434929,3.04875,-77.1095,-0.503899,0.274647,10.1779,0.00474168,-0.0863789,-0.0220856
26,0.442901,3.0034,-77.1237,-0.519687,0.0991785,10.1749,0.0111333,-0.0597473,-0.0263466
27,0.438946,2.99229,-77.1385,-0.587229,-0.0306221,10.1041,-0.00591096,-0.00435359,-0.0188898
