index,roll,pitch,yaw,accx,accy,accz,gyrox,gyroy,gyroz
0,-9.15521,12.3543,-158.421,-2.22202,-1.53975,10.0259,0.00367642,0.000972733,0.000284962
1,-9.15583,12.3561,-158.424,-2.14507,-1.56398,9.6912,-0.00058464,-0.00435359,0.0151987
2,-9.15555,12.3568,-158.423,-2.18116,-1.51611,9.78084,-0.0016499,-0.00328832,0.00348076
3,-9.15473,12.3574,-158.423,-2.16893,-1.56555,9.78756,-0.00058464,-0.00328832,-0.00184557
4,-9.15417,12.3576,-158.423,-2.15593,-1.49907,9.82597,-0.00058464,-0.00435359,0.00241549
5,-9.15256,12.3574,-158.423,-2.17957,-1.54698,9.77514,-0.00058464,0.00523379,0.000284962
6,-9.15036,12.3595,-158.424,-2.17759,-1.53244,9.75892,-0.0016499,-0.0011578,-0.00291083
7,-9.14964,12.3601,-158.424,-2.16904,-1.58904,9.76925,-0.00058464,-0.00541885,-0.00291083
8,-9.1494,12.3608,-158.424,-2.18686,-1.58092,9.72422,-0.0048457,-0.00967991,0.000284962
9,-9.14923,12.3609,-158.424,-2.1579,-1.56204,9.74394,-0.00058464,0.00310326,-0.000780302
10,-9.14807,12.362,-158.424,-2.17943,-1.56113,9.70978,-0.00271517,0.00310326,-0.00291083
11,-9.14653,12.3618,-158.425,-2.13254,-1.55559,9.73643,-0.00058464,0.00416853,-0.00930242
12,-9.14536,12.3612,-158.425,-2.16357,-1.58375,9.7656,-0.00271517,0.000972733,0.00135023
13,-9.14421,12.3616,-158.425,-2.17788,-1.57052,9.75682,-0.00058464,-0.00541885,-0.00504136
14,-9.14248,12.361,-158.425,-2.16186,-1.57139,9.81461,-0.00058464,0.000972733,0.000284962
15,-9.14233,12.3603,-158.424,-2.11772,-1.51427,9.72206,-0.00591096,0.00949485,0.00241549
16,-9.14325,12.3612,-158.425,-2.19787,-1.59337,9.7442,-0.00697623,0.00736432,0.00135023
17,-9.14369,12.3619,-158.425,-2.16588,-1.63285,9.79788,0.000480625,-0.0011578,-0.000780302
18,-9.14713,12.3612,-158.426,-2.14738,-1.59335,9.76351,0.00261115,0.00310326,-0.00184557
19,-9.14964,12.3629,-158.427,-2.19982,-1.60966,9.74773,-0.00271517,0.00310326,0.00561128
20,-9.15132,12.3635,-158.428,-2.11886,-1.63251,9.78098,-0.0016499,0.00310326,0.00348076
21,-9.1529,12.3627,-158.428,-2.18897,-1.6136,9.7385,0.00687221,0.000972733,0.00348076
22,-9.15415,12.363,-158.426,-2.22754,-1.66171,9.8093,0.00580695,0.00949485,0.0141334
23,-9.15433,12.363,-158.428,-2.16334,-1.57267,9.72943,0.00367642,-0.00328832,-0.00184557
24,-9.15427,12.363,-158.427,-2.17771,-1.54696,9.76062,0.00580695,-0.00435359,-0.00291083
25,-9.1523,12.3621,-158.426,-2.10017,-1.55327,9.77592,0.000480625,0.00416853,-0.000780302
26,-9.1512,12.3633,-158.426,-2.19955,-1.57699,9.74435,0.00580695,0.002038,0.00348076
27,-9.15025,12.3628,-158.426,-2.17042,-1.53275,9.77151,-0.00058464,-0.00967991,-0.00291083
28,-9.14889,12.3612,-158.426,-2.11622,-1.55065,9.72901,-0.00271517,-0.00648412,-0.00930242
29,-9.14735,12.3615,-158.427,-2.1509,-1.58234,9.76183,0.00367642,0.000972733,0.00135023
30,-9.14619,12.361,-158.426,-2.15789,-1.56202,9.74032,-0.00271517,-0.00541885,0.00454602
31,-9.14596,12.3613,-158.427,-2.17625,-1.57981,9.78391,-0.00697623,-0.0107452,-0.000780302
32,-9.14447,12.3616,-158.428,-2.19387,-1.54808,9.73362,-0.00271517,0.002038,-0.00184557
33,-9.14543,12.3623,-158.428,-2.19612,-1.60966,9.72593,0.000480625,0.00949485,-0.00291083
34,-9.14566,12.3631,-158.428,-2.17624,-1.57621,9.78938,0.00261115,0.00629906,-0.00504136
35,-9.14712,12.3632,-158.428,-2.18187,-1.5871,9.82199,0.000480625,0.00416853,0.00135023
36,-9.14979,12.3637,-158.428,-2.18337,-1.5848,9.74771,0.00261115,0.002038,-0.00291083
37,-9.14851,12.3626,-158.429,-2.17418,-1.55796,9.75868,0.000480625,0.00736432,-0.00930242
38,-9.14833,12.3622,-158.429,-2.09136,-1.56823,9.80289,-0.0016499,-0.00648412,-0.000780302
39,-9.14825,12.3618,-158.429,-2.14342,-1.56427,9.73106,-0.00591096,0.000972733,-0.00717189
40,-9.14878,12.3616,-158.429,-2.12948,-1.60315,9.78497,-0.00271517,0.000972733,-0.00504136
41,-9.14983,12.3619,-158.429,-2.19049,-1.57904,9.73334,0.00261115,-0.0011578,-0.00184557
42,-9.15059,12.362,-158.429,-2.14399,-1.61712,9.77416,0.00154589,0.00949485,-0.00184557
43,-9.1517,12.3626,-158.429,-2.13859,-1.61194,9.78864,0.00261115,0.00523379,-0.00291083
44,-9.15048,12.3616,-158.429,-2.13102,-1.58476,9.7525,0.00261115,0.00416853,-0.000780302
45,-9.15126,12.3609,-158.427,-2.14419,-1.65508,9.75031,0.00154589,0.00736432,-0.00504136
46,-9.15387,12.3616,-158.427,-2.16034,-1.62569,9.78155,0.00367642,-0.00328832,0.00241549
47,-9.1533,12.3614,-158.427,-2.12889,-1.53592,9.76553,0.00580695,0.00416853,-0.00291083
48,-9.15137,12.361,-158.427,-2.13579,-1.51011,9.735,-0.0016499,0.00416853,0.00241549
49,-9.14957,12.3599,-158.428,-2.18669,-1.51968,9.80263,-0.0016499,0.000972733,-0.00184557
50,-9.14875,12.3615,-158.428,-2.18494,-1.55391,9.74797,0.00687221,-0.00435359,-0.00291083
51,-9.1474,12.3625,-158.427,-2.1253,-1.53069,9.78184,0.00793748,-0.00648412,-0.00291083
52,-9.14472,12.362,-158.427,-2.13094,-1.5703,9.76167,-0.00591096,-0.0011578,0.00561128
53,-9.14413,12.362,-158.427,-2.16495,-1.54003,9.7442,-0.00697623,-0.00648412,-0.00184557
54,-9.14421,12.3618,-158.427,-2.18493,-1.55928,9.73524,0.00261115,-0.00967991,-0.00291083
55,-9.1434,12.3619,-158.427,-2.18292,-1.53751,9.7245,0.00367642,-0.00328832,0.00241549
56,-9.14421,12.3613,-158.427,-2.18335,-1.57581,9.76047,-0.0048457,0.002038,-0.00184557
57,-9.14592,12.3617,-158.428,-2.15241,-1.54059,9.7676,-0.0016499,0.000972733,0.00135023
58,-9.14759,12.3613,-158.429,-2.14408,-1.63697,9.75589,-0.00271517,0.00310326,0.00241549
59,-9.14917,12.3611,-158.429,-2.16014,-1.57517,9.83088,0.00261115,-0.00435359,0.00454602
60,-9.14989,12.3617,-158.429,-2.17819,-1.60326,9.77107,0.00154589,-0.00328832,0.00454602
61,-9.15055,12.3613,-158.431,-2.20305,-1.5462,9.77544,0.000480625,-0.0011578,0.00454602
62,-9.15015,12.3616,-158.431,-2.18136,-1.56125,9.74243,0.000480625,0.00310326,0.00241549
63,-9.1498,12.3614,-158.431,-2.20119,-1.52108,9.81367,0.00367642,-0.00435359,-0.0039761
64,-9.14867,12.3611,-158.431,-2.13597,-1.51933,9.76212,-0.00271517,0.00310326,-0.00291083
65,-9.14853,12.3612,-158.431,-2.12536,-1.56486,9.72902,-0.00271517,-0.00648412,-0.0039761
66,-9.14976,12.361,-158.431,-2.17854,-1.65938,9.75071,-0.00058464,-0.00328832,-0.00184557
67,-9.14955,12.3601,-158.43,-2.13613,-1.55006,9.74195,0.00261115,0.000972733,0.000284962
68,-9.1498,12.36,-158.431,-2.15986,-1.54785,9.81114,0.000480625,0.00416853,0.00880708
69,-9.1501,12.3605,-158.43,-2.14166,-1.57156,9.72736,0.000480625,0.0105601,0.00454602
70,-9.14888,12.3612,-158.431,-2.16338,-1.55478,9.77488,-0.00271517,-0.00754938,-0.00504136
71,-9.14843,12.3622,-158.431,-2.23914,-1.55395,9.75408,0.00474168,0.00310326,0.00561128
72,-9.14817,12.3615,-158.431,-2.16703,-1.57086,9.75305,0.00154589,-0.0011578,0.000284962
73,-9.1471,12.3623,-158.431,-2.1635,-1.58545,9.74383,0.0132638,0.000972733,0.00561128
74,-9.14608,12.362,-158.431,-2.14514,-1.55332,9.73116,0.00261115,-0.0011578,0.000284962
75,-9.14544,12.3603,-158.431,-2.14711,-1.55708,9.7656,-0.0016499,0.002038,-0.00184557
